year,germination,blooming,,,,
2000,2000-03-29,2000-04-10,,,,
2001,2001-04-01,2001-04-10,,,,
2002,2002-03-19,2002-04-02,,,,
2003,2003-03-20,2003-04-05,,,,
2004,2004-03-25,2004-04-05,,,,
2005,2005-04-01,2005-04-12,,,,
2006,2006-04-04,2006-04-10,,,,
2007,2007-03-14,2007-04-03,,,,
2008,2008-03-24,2008-04-06,,,,
2009,2009-03-19,2009-04-06,,,,
2010,2010-03-27,2010-04-12,,,,
2011,2011-04-01,2011-04-13,,,,
2012,2012-04-02,2012-04-15,,,,
2013,2013-04-03,2013-04-15,,,,
2014,2014-03-23,2014-03-28,,,,
2015,2015-03-25,2015-04-03,,,,
2016,2016-03-24,2016-04-02,,,,
2017,2017-03-25,2017-04-06,,,,
2018,2018-03-27,2018-04-02,,,,
2019,2019-03-22,2019-04-03,,,,
2020,2020-03-21,2020-03-27,,,,
2021,2021-03-16,2021-03-24,,,,
2022,2022-03-26,2022-04-04,,,,
2023,2023-03-21,2023-03-25,,,,
2024,2024-03-23,2024-04-01,,,,
,,,,,,
